epochs           90
ckpt_save_interval 2
workers          4
mode             train
ckpt             None
net              pointnet2_msg
lr               0.0001
lr_decay         0.2
lr_clip          1e-06
decay_step_list  [50, 70, 80, 90]
weight_decay     0.001
output_dir       output
extra_tag        default
num_points       4096
use_sgd          False
batch_size       16
===============TRAIN EPOCH 1================
training epoch 1: it=101/232, total_it=102, loss=0.76392, fg_iou=0.286, accuracy=0.922, lr=0.000100
training epoch 1: it=102/232, total_it=103, loss=0.45815, fg_iou=0.623, accuracy=0.944, lr=0.000100
training epoch 1: it=103/232, total_it=104, loss=0.73531, fg_iou=0.315, accuracy=0.921, lr=0.000100
training epoch 1: it=104/232, total_it=105, loss=0.61589, fg_iou=0.480, accuracy=0.947, lr=0.000100
training epoch 1: it=105/232, total_it=106, loss=0.72906, fg_iou=0.349, accuracy=0.938, lr=0.000100
training epoch 1: it=106/232, total_it=107, loss=0.63085, fg_iou=0.439, accuracy=0.908, lr=0.000100
training epoch 1: it=107/232, total_it=108, loss=0.73527, fg_iou=0.366, accuracy=0.946, lr=0.000100
training epoch 1: it=108/232, total_it=109, loss=0.53715, fg_iou=0.566, accuracy=0.951, lr=0.000100
training epoch 1: it=109/232, total_it=110, loss=0.58515, fg_iou=0.487, accuracy=0.929, lr=0.000100
training epoch 1: it=110/232, total_it=111, loss=0.75059, fg_iou=0.327, accuracy=0.938, lr=0.000100
training epoch 1: it=111/232, total_it=112, loss=0.54763, fg_iou=0.544, accuracy=0.947, lr=0.000100
training epoch 1: it=112/232, total_it=113, loss=0.53913, fg_iou=0.550, accuracy=0.953, lr=0.000100
training epoch 1: it=113/232, total_it=114, loss=0.52848, fg_iou=0.536, accuracy=0.937, lr=0.000100
training epoch 1: it=114/232, total_it=115, loss=0.68712, fg_iou=0.386, accuracy=0.939, lr=0.000100
training epoch 1: it=115/232, total_it=116, loss=0.49159, fg_iou=0.597, accuracy=0.950, lr=0.000100
training epoch 1: it=116/232, total_it=117, loss=0.58434, fg_iou=0.472, accuracy=0.940, lr=0.000100
training epoch 1: it=117/232, total_it=118, loss=0.52860, fg_iou=0.582, accuracy=0.956, lr=0.000100
training epoch 1: it=118/232, total_it=119, loss=0.51622, fg_iou=0.549, accuracy=0.939, lr=0.000100
training epoch 1: it=119/232, total_it=120, loss=0.48383, fg_iou=0.590, accuracy=0.948, lr=0.000100
training epoch 1: it=120/232, total_it=121, loss=0.46475, fg_iou=0.629, accuracy=0.951, lr=0.000100
training epoch 1: it=121/232, total_it=122, loss=0.75545, fg_iou=0.300, accuracy=0.931, lr=0.000100
training epoch 1: it=122/232, total_it=123, loss=0.36436, fg_iou=0.694, accuracy=0.949, lr=0.000100
training epoch 1: it=123/232, total_it=124, loss=0.47247, fg_iou=0.567, accuracy=0.936, lr=0.000100
training epoch 1: it=124/232, total_it=125, loss=0.70154, fg_iou=0.370, accuracy=0.947, lr=0.000100
training epoch 1: it=125/232, total_it=126, loss=0.58863, fg_iou=0.494, accuracy=0.951, lr=0.000100
training epoch 1: it=126/232, total_it=127, loss=0.56509, fg_iou=0.502, accuracy=0.945, lr=0.000100
training epoch 1: it=127/232, total_it=128, loss=0.51565, fg_iou=0.602, accuracy=0.959, lr=0.000100
training epoch 1: it=128/232, total_it=129, loss=0.41495, fg_iou=0.675, accuracy=0.964, lr=0.000100
training epoch 1: it=129/232, total_it=130, loss=0.48772, fg_iou=0.587, accuracy=0.940, lr=0.000100
training epoch 1: it=130/232, total_it=131, loss=0.51652, fg_iou=0.582, accuracy=0.962, lr=0.000100
training epoch 1: it=131/232, total_it=132, loss=0.64004, fg_iou=0.448, accuracy=0.956, lr=0.000100
